Código,Nome,Volume,Última (R$),Variação
VIVA3,Vivara,3.646.800,22,51,+1,86%
FLRY3,Fleury,3.616.000,14,73,+1,38%
RECV3,PetroRecôncavo,3.594.500,21,99,+2,37%
SBFG3,Grupo SBF,3.558.800,8,47,+3,04%
INEP3,Inepar,3.421.600,1,17,+8,33%
TRPL4,Transmissão Paulista,3.299.100,22,60,+0,85%
DIRR3,Direcional,3.197.600,16,87,-0,76%
VIVT3,Vivo,3.132.500,40,38,+0,50%
ZAMP3,BK Brasil,3.084.300,4,31,+2,13%
JHSF3,JHSF,3.044.600,3,95,-0,25%
BRAP4,Bradespar,2.828.100,27,11,-1,02%
SBSP3,Sabesp,2.710.200,51,37,+0,73%
POSI3,Positivo,2.582.100,7,92,+5,60%
INTB3,Intelbras,2.509.400,24,80,+2,18%
PCAR3,Grupo Pão de Açúcar,2.483.000,15,09,-1,05%
SMFT3,Smart Fit,2.322.400,14,27,+1,35%
AESB3,AES Brasil,2.254.100,10,18,+0,89%
ARZZ3,Arezzo,2.243.900,68,91,-0,13%
BRKM5,Braskem,2.238.900,20,45,-1,59%
BRSR6,Banrisul,2.235.600,10,24,+1,99%
EGIE3,ENGIE,2.215.700,40,33,+1,23%
GUAR3,Guararapes,2.160.200,4,54,+3,65%
CSMG3,COPASA,2.147.900,16,25,-1,93%
MILS3,Mills,1.973.400,9,16,-1,29%
CPFE3,CPFL Energia,1.971.300,33,58,+1,27%
MODL3,Banco Modal,1.891.500,1,73,+4,22%
GRND3,Grendene,1.883.000,7,58,+0,93%
IRBR3,IRB Brasil RE,1.834.500,23,21,+2,25%
SMTO3,São Martinho,1.779.700,29,34,+0,65%
NEOE3,Neoenergia,1.771.000,15,43,+1,11%
MDIA3,M. Dias Branco,1.761.300,27,36,+0,44%
NINJ3,GetNinjas,1.698.200,2,42,+7,56%
MYPK3,Iochpe-Maxion,1.688.600,12,17,-0,57%
AMBP3,Ambipar,1.669.200,22,64,+3,10%
KEPL3,Kepler Weber,1.616.400,8,80,-2,98%
GGPS3,GPS,1.505.600,12,41,-0,32%
TRAD3,Traders Club,1.480.000,1,05,+2,94%
CURY3,Cury,1.449.800,13,29,+1,45%
PSSA3,Porto Seguro,1.438.800,23,84,+0,51%
ENJU3,Enjoei,1.432.400,0,91,+3,41%
NGRD3,Neogrid,1.402.900,1,28,+6,67%
ENAT3,Enauta,1.375.500,12,21,+2,43%
CAML3,Camil Alimentos,1.374.100,7,43,-0,93%
ONCO3,Oncoclínicas,1.331.100,8,80,+1,15%
TRIS3,Trisul,1.314.000,3,31,+3,44%
PTBL3,Portobello,1.308.300,6,34,+3,26%
RCSL3,Recrusul,1.307.200,4,82,+7,11%
SYNE3,SYN,1.142.700,3,47,+17,23%
PLPL3,Plano&Plano,1.140.600,6,35,+2,92%
MEAL3,IMC Alimentação,1.093.000,2,18,+1,40%
TUPY3,Tupy,1.081.100,23,60,-2,52%
GFSA3,Gafisa,1.077.800,5,75,+0,88%
RANI3,Irani,1.056.700,8,69,-1,92%
TTEN3,3tentos,1.018.600,11,83,-0,59%
SLCE3,SLC Agrícola,1.003.700,45,81,-1,02%
HBOR3,Helbor,951.300,2,20,+2,80%
TASA4,Taurus,932.700,16,82,+1,94%
SEER3,Ser Educacional,911.200,3,14,+0,64%
IFCM3,Infracommerce,890.500,1,94,+8,99%
LUPA3,Lupatech,885.500,3,86,+1,85%
AZEV4,Azevedo & Travassos,861.500,1,28,+2,40%
BMGB4,Banco BMG,847.000,2,05,+0,99%
KLBN3,Klabin,845.900,3,78,+1,34%
PNVL3,Dimed,836.700,10,03,+2,45%
EVEN3,Even,827.000,4,64,+1,09%
PGMN3,Pague Menos,826.000,3,22,+2,22%
AGRO3,BrasilAgro,816.700,24,89,+2,22%
CLSA3,ClearSale,812.900,5,99,+2,57%
RCSL4,Recrusul,806.800,0,61,+3,39%
WIZC3,Wiz Soluções,778.500,5,82,+0,17%
SQIA3,Sinqia,774.200,16,05,+0,88%
BOAS3,Boa Vista,762.100,7,72,+0,13%
ROMI3,Indústrias ROMI,754.300,15,76,+0,57%
INEP4,Inepar,707.300,0,86,+6,17%
POMO3,Marcopolo,706.100,2,72,+3,82%
DASA3,Dasa,701.100,8,38,-1,99%
ABCB4,Banco ABC Brasil,673.800,16,77,+1,21%
VVEO3,Viveo,659.800,16,88,+5,50%
JALL3,Jalles Machado,618.200,7,15,+0,00%
ITUB3,Itaú Unibanco,600.400,21,82,+1,02%
TAEE4,Taesa,583.200,11,53,+1,86%
MTRE3,Mitre Realty,583.200,3,72,+6,29%
LPSB3,Lopes,573.900,1,56,+0,65%
CSED3,Cruzeiro do Sul Educacional,563.100,2,31,+8,96%
MBLY3,Mobly,541.200,1,85,+0,54%
TECN3,Technos,538.100,3,13,+2,96%
SHUL4,Schulz,531.400,4,38,-1,13%
ALPK3,Estapar,503.000,1,25,+4,17%
COCE5,Coelce,488.900,48,19,+2,71%
VLID3,Valid,487.400,10,08,+0,80%
JSLG3,JSL,483.800,7,02,+3,24%
BRIT3,Brisanet,469.300,2,18,+4,81%
LOGG3,LOG CP,463.800,16,66,+0,79%
ETER3,Eternit,455.200,9,69,+2,43%
LAVV3,Lavvi Incorporadora,449.400,5,33,+1,14%
PARD3,Hermes Pardini,427.300,20,44,+2,56%
VULC3,Vulcabras,406.900,12,39,+2,48%
FRAS3,Fras-le,406.000,9,25,-1,49%
MATD3,Mater Dei,406.000,8,10,-0,12%
PORT3,Wilson Sons,379.500,10,11,-0,98%
AALR3,Alliar,375.800,22,75,+0,00%
SAPR3,Sanepar,374.600,3,68,+3,66%
PINE4,PINE,358.200,1,64,-1,80%
ORVR3,Orizon,355.600,37,27,-1,35%
TGMA3,Tegma,355.200,19,10,+3,47%
ARML3,Armac,348.200,12,25,+2,94%
SGPS3,SPRINGS,328.500,0,93,+1,09%
UNIP6,Unipar,321.000,71,36,-1,30%
BMOB3,Bemobi,300.700,14,10,+1,29%
SHOW3,Time For Fun,288.600,1,60,-0,62%
TPIS3,Triunfo,273.100,0,84,+3,70%
DEXP3,Dexxos,271.800,7,97,+1,53%
